,Geography,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units
22674,NewYork,12/25/2016,conventional,1.36,1087984.9,11329.85,713042.43,84414.47,279198.15
22675,NewYork,12/18/2016,conventional,1.26,1241381.71,14178.17,954802.6,15428.57,256972.37
22676,NewYork,12/11/2016,conventional,1.32,1163696.14,10994.77,793989.54,5247.11,353464.72
22677,NewYork,12/4/2016,conventional,1.52,960475.67,13893.11,696042.02,2350.43,248190.11
22678,NewYork,11/27/2016,conventional,1.56,970753.07,15264.26,696848.85,2022.9,256617.06
22679,NewYork,11/20/2016,conventional,1.59,1093097.04,16970.61,732069.33,2999.16,341057.94
22680,NewYork,11/13/2016,conventional,1.9,830018.48,12169.08,523321.98,2970.03,291557.39
22681,NewYork,11/6/2016,conventional,1.93,767190.62,10277.48,460230.47,3519.45,293163.22
22682,NewYork,10/30/2016,conventional,1.99,618279.77,9264.98,435952.49,1595.64,171466.66
22683,NewYork,10/23/2016,conventional,1.95,807564.93,11212.72,512038.46,2086.69,282227.06
22684,NewYork,10/16/2016,conventional,1.89,969846.54,15611.16,636341.88,1794.03,316099.47
22685,NewYork,10/9/2016,conventional,1.76,1031060.45,20086.94,688905.67,1806.94,320260.9
22686,NewYork,10/2/2016,conventional,1.72,1057930.65,33926.41,658467.15,3847.42,361689.67
22687,NewYork,9/25/2016,conventional,1.62,1061132.87,121477.42,566149.9,2002.25,371503.3
22688,NewYork,9/18/2016,conventional,1.5,1108446.44,112702.36,551448.57,1664.22,442631.29
22689,NewYork,9/11/2016,conventional,1.26,1558413.54,239517.85,883865.63,2148.56,432881.5
22690,NewYork,9/4/2016,conventional,1.47,1278749.25,23916.16,832269.64,12219.16,410344.29
22691,NewYork,8/28/2016,conventional,1.58,1212399.97,19257.01,715527.43,37849.93,439765.6
22692,NewYork,8/21/2016,conventional,1.47,1334937.86,15005.3,771413.01,4586.26,543933.29
22693,NewYork,8/14/2016,conventional,1.49,1275952.93,18600.18,714407.25,13049.64,529895.86
22694,NewYork,8/7/2016,conventional,1.54,1256917.91,22522.19,668121.42,26114.18,540160.12
22695,NewYork,7/31/2016,conventional,1.7,1122162.86,16312.56,609412.65,21053.58,475384.07
22696,NewYork,7/24/2016,conventional,1.68,1180373.67,14628.74,650141.77,22932.6,492670.56
22697,NewYork,7/17/2016,conventional,1.64,1076259.08,12881.29,611445.16,28823.32,423109.31
22698,NewYork,7/10/2016,conventional,1.51,1266199.75,15424.35,700324.85,38821.41,511629.14
22699,NewYork,7/3/2016,conventional,1.53,1280725.34,14732.72,746733.25,49981.26,469278.11
22700,NewYork,6/26/2016,conventional,1.2,1622151.78,16027.59,1130566.68,30501.74,445055.77
22701,NewYork,6/19/2016,conventional,1.5,1372612.33,16094.41,901972.6,28828.95,425716.37
22702,NewYork,6/12/2016,conventional,1.44,1485642.35,19083.82,976390.73,21103.91,469063.89
22703,NewYork,6/5/2016,conventional,1.47,1447580.25,15757.13,955311.63,23821.5,452689.99
22704,NewYork,5/29/2016,conventional,1.08,1827100.26,19729.58,1354634.86,24551.86,428183.96
22705,NewYork,5/22/2016,conventional,1.14,1586647.62,16781.6,1157504.36,16382.54,395979.12
22706,NewYork,5/15/2016,conventional,1.14,1706730.17,17964.49,1274098.3,16601.36,398066.02
22707,NewYork,5/8/2016,conventional,0.77,2740587.86,26384.21,2283465.22,21633.51,409104.92
22708,NewYork,5/1/2016,conventional,1.22,1536109.56,16424.04,1106990.04,11518.08,401177.4
22709,NewYork,4/24/2016,conventional,1.12,1718055.86,19783.48,1290475.48,12409.29,395387.61
22710,NewYork,4/17/2016,conventional,1.08,1030786.84,16212.12,582843.38,4694.24,427037.1
22711,NewYork,4/10/2016,conventional,1.09,987897.9,19209.79,588026.18,2136.66,378525.27
22712,NewYork,4/3/2016,conventional,1.31,1240608.2,15436.69,912292.57,1685.41,311193.53
22713,NewYork,3/27/2016,conventional,1.32,1395562.08,17761.56,1008215.2,1438.13,368147.19
22714,NewYork,3/20/2016,conventional,1.09,1743194.56,23278.85,1269404.72,1917.48,448593.51
22715,NewYork,3/13/2016,conventional,1.17,1600417.32,28599.84,1237674.92,2800.71,331341.85
22716,NewYork,3/6/2016,conventional,1.24,1455656.4,18107.83,1074827.27,2066.31,360654.99
22717,NewYork,2/28/2016,conventional,1.15,1594427.98,18295.61,1282457.13,2027.64,291647.6
22718,NewYork,2/21/2016,conventional,1.21,1315177.5,15028.05,930110.1,3071.33,366968.02
22719,NewYork,2/14/2016,conventional,1.09,1806980.64,23786.18,1388157.42,1219.98,393817.06
22720,NewYork,2/7/2016,conventional,0.95,2202127.86,23983.2,1630429.86,2999.72,544715.08
22721,NewYork,1/31/2016,conventional,1.02,1615465.33,18769.06,1284268.92,1383.65,311043.7
22722,NewYork,1/24/2016,conventional,1.3,1429242.83,16058.14,993964.41,1854.2,417366.08
22723,NewYork,1/17/2016,conventional,1.01,1840344.27,18562.23,1422978.1,4948.8,393855.14
22724,NewYork,1/10/2016,conventional,1.15,1364272.64,16165.18,1012218.12,1669.99,334219.35
22725,NewYork,1/3/2016,conventional,1.07,1454164.32,16972.91,1192875.91,1462.15,242853.35
22726,Northeast,12/25/2016,conventional,1.36,3216470.61,109608.75,2191723.95,117488.47,797649.44
22727,Northeast,12/18/2016,conventional,1.22,3686005.68,140720.26,2795230.71,36711.66,713343.05
22728,Northeast,12/11/2016,conventional,1.32,3381321.05,102683.58,2390081.54,19968.52,868587.41
22729,Northeast,12/4/2016,conventional,1.4,3222663.98,130456.71,2427295.83,12275.54,652635.9
22730,Northeast,11/27/2016,conventional,1.51,2701518.48,102215.56,1938616.78,10853.05,649833.09
22731,Northeast,11/20/2016,conventional,1.51,3206946.52,126526.23,2178698.04,16299.41,885422.84
22732,Northeast,11/13/2016,conventional,1.67,2706838.44,126870.22,1797497.36,14009.38,768461.48
22733,Northeast,11/6/2016,conventional,1.71,2507401.04,124032.58,1616563.04,13244.25,753561.17
22734,Northeast,10/30/2016,conventional,1.72,2364424.49,118904.18,1616421.48,12120.21,616978.62
22735,Northeast,10/23/2016,conventional,1.67,2916578.9,137388.92,1930226.81,16940.59,832022.58
22736,Northeast,10/16/2016,conventional,1.65,3107049.25,144612.79,2009401.22,13908.08,939127.16
22737,Northeast,10/9/2016,conventional,1.54,3350949.74,154892.72,2258828.33,12844.95,924383.74
22738,Northeast,10/2/2016,conventional,1.59,3257752.57,208054.74,2048824.18,17032.95,983840.7
22739,Northeast,9/25/2016,conventional,1.53,3458790.86,446786.96,1993513.53,18241.6,1000248.77
22740,Northeast,9/18/2016,conventional,1.45,3442454.03,409569.22,1938470.57,17881,1076533.24
22741,Northeast,9/11/2016,conventional,1.28,4456957.62,703699.41,2632018.36,25571.12,1095668.73
22742,Northeast,9/4/2016,conventional,1.4,4019648.55,358039.67,2446669.38,38848.69,1176090.81
22743,Northeast,8/28/2016,conventional,1.4,4309301.79,490786.03,2495011.21,68592.79,1254911.76
22744,Northeast,8/21/2016,conventional,1.4,4127080.33,247658.58,2351280.09,25740.08,1502401.58
22745,Northeast,8/14/2016,conventional,1.37,4195423.29,316873.28,2323362.26,40749.92,1514437.83
22746,Northeast,8/7/2016,conventional,1.47,4024822.13,304604.68,2245559.82,59915.16,1414742.47
22747,Northeast,7/31/2016,conventional,1.6,3813808.25,224803.7,2213892.51,57230.15,1317881.89
22748,Northeast,7/24/2016,conventional,1.54,3834290.51,220814.35,2172523.13,63713.79,1377239.24
22749,Northeast,7/17/2016,conventional,1.49,3736814.35,196491.18,2123945.28,74756.02,1341621.87
22750,Northeast,7/10/2016,conventional,1.33,4487625.78,316659.6,2589205.84,99899.13,1481861.21
22751,Northeast,7/3/2016,conventional,1.41,4486744.99,210728.65,2669362.44,123210.02,1483443.88
22752,Northeast,6/26/2016,conventional,1.28,4840949.87,190136.57,3188127.73,118844.6,1343840.97
22753,Northeast,6/19/2016,conventional,1.4,4506892.62,184730.86,2920243.12,132512.61,1269406.03
22754,Northeast,6/12/2016,conventional,1.34,4599028.54,201927.9,2903948.28,135414.25,1357738.11
22755,Northeast,6/5/2016,conventional,1.35,4570515.87,154509.15,2911585.02,156593.71,1347827.99
22756,Northeast,5/29/2016,conventional,1.14,5141314.86,141464.88,3554079.38,213854.78,1231915.82
22757,Northeast,5/22/2016,conventional,1.14,4609250.24,104014.01,3018204.18,219221.82,1267810.23
22758,Northeast,5/15/2016,conventional,1.13,4999100.74,100735.1,3556589.53,172917.61,1168858.5
22759,Northeast,5/8/2016,conventional,0.87,6899727.12,135137.08,5246830.25,211975.68,1305784.11
22760,Northeast,5/1/2016,conventional,1.12,5247266.74,123023.38,3800242.35,144510.42,1179490.59
22761,Northeast,4/24/2016,conventional,1.13,4815249.22,125736.57,3366389.1,142677.6,1180445.95
22762,Northeast,4/17/2016,conventional,1.12,3849051.4,105339.58,2415296.29,102786.85,1225628.68
22763,Northeast,4/10/2016,conventional,1.09,3756625.12,113797.04,2340135.2,164663.65,1138029.23
22764,Northeast,4/3/2016,conventional,1.18,3872680.79,99894.98,2745624.73,90728.12,936432.96
22765,Northeast,3/27/2016,conventional,1.23,4239016.69,99223.9,2932815.39,104253.64,1102723.76
22766,Northeast,3/20/2016,conventional,1.11,4834759.09,108456.51,3414702.44,79981.32,1231618.82
22767,Northeast,3/13/2016,conventional,1.13,4713935.35,122581.78,3460335.94,111254.96,1019762.67
22768,Northeast,3/6/2016,conventional,1.21,4226925.7,111263.99,2950419.2,83451.82,1081790.69
22769,Northeast,2/28/2016,conventional,1.15,4481119.44,105867.52,3361015.9,84168.72,930067.3
22770,Northeast,2/21/2016,conventional,1.21,3948234.94,94936.43,2707199.74,84110.32,1061988.45
22771,Northeast,2/14/2016,conventional,1.08,4959257.88,121413.01,3553331.27,129490.05,1155023.55
22772,Northeast,2/7/2016,conventional,1.03,5919226.12,125570.46,4290645.89,59775.41,1443234.36
22773,Northeast,1/31/2016,conventional,1.06,4650798.49,102906.84,3443651.01,59279.93,1044960.71
22774,Northeast,1/24/2016,conventional,1.21,4412280.93,75379.6,2940359.34,66877.99,1329664
22775,Northeast,1/17/2016,conventional,1.09,4891516.5,102211.78,3491028.64,77510.23,1220765.85
22776,Northeast,1/10/2016,conventional,1.2,3890225.41,96952.31,2696731.85,34789.19,1061752.06
22777,Northeast,1/3/2016,conventional,1.07,4524219.73,96146.84,3588931.66,53765.74,785375.49
22778,NorthernNewEngland,12/25/2016,conventional,1.24,325634.21,12140.61,257987.85,2878.28,52627.47
22779,NorthernNewEngland,12/18/2016,conventional,1.19,357508.29,14139.27,293062.77,5316.67,44989.58
22780,NorthernNewEngland,12/11/2016,conventional,1.29,310425.3,9683.11,246740.16,3080.85,50921.18
22781,NorthernNewEngland,12/4/2016,conventional,1.12,440990.34,24617.32,378804.18,2349.92,35218.92
22782,NorthernNewEngland,11/27/2016,conventional,1.41,262748.42,11304.04,210220.02,2392.56,38831.8
22783,NorthernNewEngland,11/20/2016,conventional,1.39,315783.24,15322.42,247461.31,3473.03,49526.48
22784,NorthernNewEngland,11/13/2016,conventional,1.48,268388.51,11996.05,211327.03,2651.04,42414.39
22785,NorthernNewEngland,11/6/2016,conventional,1.47,242666.87,10727.78,179547.81,2261.03,50130.25
22786,NorthernNewEngland,10/30/2016,conventional,1.52,255455.34,12252.61,185280.5,2879.09,55043.14
22787,NorthernNewEngland,10/23/2016,conventional,1.48,291385.56,17405.6,223021.98,4022.89,46935.09
22788,NorthernNewEngland,10/16/2016,conventional,1.47,290884.89,14794.34,224368.92,3353.02,48368.61
22789,NorthernNewEngland,10/9/2016,conventional,1.4,305506.51,14886.34,239615.02,2844.21,48160.94
22790,NorthernNewEngland,10/2/2016,conventional,1.52,291185.37,18423.35,222357.93,3193.18,47210.91
22791,NorthernNewEngland,9/25/2016,conventional,1.58,315399.04,23189.93,236472.99,3706.18,52029.94
22792,NorthernNewEngland,9/18/2016,conventional,1.48,316980.64,24643.99,235008.38,4265.21,53063.06
22793,NorthernNewEngland,9/11/2016,conventional,1.44,343314.74,35007.16,237320.7,7204.93,63781.95
22794,NorthernNewEngland,9/4/2016,conventional,1.38,374902.91,83711.04,209147.77,6202.12,75841.98
22795,NorthernNewEngland,8/28/2016,conventional,1.08,573338.65,211564.36,287750.3,4901.82,69122.17
22796,NorthernNewEngland,8/21/2016,conventional,1.34,413497.16,95074.76,197872.17,4669.14,115881.09
22797,NorthernNewEngland,8/14/2016,conventional,1.21,463651.71,114823.86,226795.01,5813.05,116219.79
22798,NorthernNewEngland,8/7/2016,conventional,1.41,457429.1,113313.11,241098.25,5883.79,97133.95
22799,NorthernNewEngland,7/31/2016,conventional,1.49,435129.36,79930.71,239638.1,6617.7,108942.85
22800,NorthernNewEngland,7/24/2016,conventional,1.36,463062.51,83734.79,244441.34,7567.92,127318.46
22801,NorthernNewEngland,7/17/2016,conventional,1.37,412386.17,75192.37,228099.87,7593.24,101500.69
22802,NorthernNewEngland,7/10/2016,conventional,1.06,569327.81,134476.2,339263.01,10102.89,85485.71
22803,NorthernNewEngland,7/3/2016,conventional,1.29,525917.26,78903.78,321186.45,14095.91,111731.12
22804,NorthernNewEngland,6/26/2016,conventional,1.28,497816.81,63778.16,323719.54,20456.9,89862.21
22805,NorthernNewEngland,6/19/2016,conventional,1.26,485945.76,53199.36,322695.72,27247.57,82803.11
22806,NorthernNewEngland,6/12/2016,conventional,1.19,472020.49,48479.14,307758.96,30137.67,85644.72
22807,NorthernNewEngland,6/5/2016,conventional,1.18,471356.84,32955.43,314403.14,35125.4,88872.87
22808,NorthernNewEngland,5/29/2016,conventional,1.1,499944.01,19245.04,337329.57,58060.21,85309.19
22809,NorthernNewEngland,5/22/2016,conventional,1.02,433251.71,2888.48,280360.37,64720.71,85282.15
22810,NorthernNewEngland,5/15/2016,conventional,1.07,443517.22,3333.83,314998.46,47340.47,77844.46
22811,NorthernNewEngland,5/8/2016,conventional,0.97,546838.34,3368.77,370026.96,55130.63,118311.98
22812,NorthernNewEngland,5/1/2016,conventional,1.02,628512.14,2527.39,538037.63,37533.31,50413.81
22813,NorthernNewEngland,4/24/2016,conventional,1.07,431615.62,2993.41,326907.16,39188.2,62526.85
22814,NorthernNewEngland,4/17/2016,conventional,1.12,399074.14,2033.75,303891.64,29548.55,63600.2
22815,NorthernNewEngland,4/10/2016,conventional,1.04,409227.87,2856.55,291174.46,50624.92,64571.94
22816,NorthernNewEngland,4/3/2016,conventional,0.99,486716.71,3194.71,411414.16,26852.26,45255.58
22817,NorthernNewEngland,3/27/2016,conventional,1.13,423257.57,2320.06,327259.78,29091.94,64585.79
22818,NorthernNewEngland,3/20/2016,conventional,1.14,414604.35,3204.62,325110.15,25614.84,60674.74
22819,NorthernNewEngland,3/13/2016,conventional,1.01,476634.67,3165.58,382630.54,36964.09,53874.46
22820,NorthernNewEngland,3/6/2016,conventional,1.08,405931.49,4140.63,303581.5,26686.24,71523.12
22821,NorthernNewEngland,2/28/2016,conventional,1.1,387149.69,4257.34,288178.36,26834.63,67879.36
22822,NorthernNewEngland,2/21/2016,conventional,1.16,380427.08,3997.91,278339.49,26089.16,72000.52
22823,NorthernNewEngland,2/14/2016,conventional,0.99,456439.67,4686.98,316152.87,41374.9,94224.92
22824,NorthernNewEngland,2/7/2016,conventional,0.97,605846.78,3738.02,531499.59,16922.98,53686.19
22825,NorthernNewEngland,1/31/2016,conventional,1.07,419786.19,3328.89,292519.75,18558.03,105379.52
22826,NorthernNewEngland,1/24/2016,conventional,1.07,453559.54,852.07,319014.01,22047.61,111645.85
22827,NorthernNewEngland,1/17/2016,conventional,1.08,447078.92,3556.39,328749.75,22335.05,92437.73
22828,NorthernNewEngland,1/10/2016,conventional,1.24,343406.89,2398.06,270035.12,11133.28,59840.43
22829,NorthernNewEngland,1/3/2016,conventional,0.96,553828.14,3485.03,492915.32,17575.69,39852.1
22830,Orlando,12/25/2016,conventional,0.94,359005.75,131616.46,81351.13,133.41,145904.75
22831,Orlando,12/18/2016,conventional,0.92,333093.29,113248.41,76982.86,118.25,142743.77
22832,Orlando,12/11/2016,conventional,1.22,247659.65,84080.08,48772.35,67.56,114739.66
22833,Orlando,12/4/2016,conventional,0.97,398859.76,129743.58,95284.48,114.33,173717.37
22834,Orlando,11/27/2016,conventional,1.46,221373.99,76751.6,48667.43,121.11,95833.85
22835,Orlando,11/20/2016,conventional,1.46,239374.44,83653.63,50316.02,91.45,105313.34
22836,Orlando,11/13/2016,conventional,1.4,250639.48,97337.14,50337.98,167.15,102797.21
22837,Orlando,11/6/2016,conventional,1.47,236696.6,93321.05,53545.04,149.05,89681.46
22838,Orlando,10/30/2016,conventional,1.54,223224.74,82399.26,52975.5,143.88,87706.1
22839,Orlando,10/23/2016,conventional,1.52,236500.42,83780.57,68746.38,134.75,83838.72
22840,Orlando,10/16/2016,conventional,1.23,311363.97,104391.1,87927.74,151.73,118893.4
22841,Orlando,10/9/2016,conventional,1.44,267399.38,91531.9,81061.05,129.43,94677
22842,Orlando,10/2/2016,conventional,1.45,301939.19,117406.55,66860.79,189.44,117482.41
22843,Orlando,9/25/2016,conventional,1.4,302808.91,122725.59,54807.36,134.09,125141.87
22844,Orlando,9/18/2016,conventional,1.16,319543.98,133279.34,59374.23,90.08,126800.33
22845,Orlando,9/11/2016,conventional,1.18,312266.53,150964.58,55134.51,63.06,106104.38
22846,Orlando,9/4/2016,conventional,0.97,477301.28,275859.84,75406.02,171.78,125863.64
22847,Orlando,8/28/2016,conventional,1.18,326913.34,163536.64,80917.57,91.83,82367.3
22848,Orlando,8/21/2016,conventional,1.19,347563.11,170496.96,87311.02,83.44,89671.69
22849,Orlando,8/14/2016,conventional,1.14,416694.11,210918.59,92045.15,131.9,113598.47
22850,Orlando,8/7/2016,conventional,1.23,327167.52,143759.32,84662.03,114.73,98631.44
22851,Orlando,7/31/2016,conventional,1.24,320002.63,137791.44,80412.78,90.9,101707.51
22852,Orlando,7/24/2016,conventional,1.22,336366.84,145903.25,92078.03,142.03,98243.53
22853,Orlando,7/17/2016,conventional,1.17,348318.4,141751.9,90770.24,104.87,115691.39
22854,Orlando,7/10/2016,conventional,1.17,341532.31,143563.56,84546.81,129.52,113292.42
22855,Orlando,7/3/2016,conventional,0.93,553640.36,277838.49,118092.73,278.53,157430.61
22856,Orlando,6/26/2016,conventional,1.18,333568.95,143186.79,76177.69,94.86,114109.61
22857,Orlando,6/19/2016,conventional,0.97,454278.32,238794.08,98795.35,250.15,116438.74
22858,Orlando,6/12/2016,conventional,1.24,293811.97,143222.68,64910.71,142.01,85536.57
22859,Orlando,6/5/2016,conventional,0.97,448117.51,262311,71419.85,231.9,114154.76
22860,Orlando,5/29/2016,conventional,0.95,481068.52,283442.26,82501.22,344.58,114780.46
22861,Orlando,5/22/2016,conventional,1.17,312532.64,163428.19,55452.91,307.92,93343.62
22862,Orlando,5/15/2016,conventional,0.83,512839.94,218691.6,121577.54,378.29,172192.51
22863,Orlando,5/8/2016,conventional,0.95,432737.31,213997.13,80588.36,259.09,137892.73
22864,Orlando,5/1/2016,conventional,0.76,667818.16,301117.14,142408.4,403.01,223889.61
22865,Orlando,4/24/2016,conventional,0.83,533830.62,230753.4,124208.12,745.37,178123.73
22866,Orlando,4/17/2016,conventional,1.06,347880.73,172247.41,69222,225.84,106185.48
22867,Orlando,4/10/2016,conventional,0.83,517277.53,229924.68,113252.28,213.89,173886.68
22868,Orlando,4/3/2016,conventional,1.05,349121.77,178043.1,55773.85,251.72,115053.1
22869,Orlando,3/27/2016,conventional,1.06,311571.85,152991.07,56406.32,62.9,102111.56
22870,Orlando,3/20/2016,conventional,1.09,291755.18,136450.8,56331.07,89.23,98884.08
22871,Orlando,3/13/2016,conventional,0.84,479956.1,216899.51,97078.36,450.14,165528.09
22872,Orlando,3/6/2016,conventional,1.08,291732.26,142948.4,51358.16,39.29,97386.41
22873,Orlando,2/28/2016,conventional,0.82,496972.61,233309.57,93393.19,222.23,170047.62
22874,Orlando,2/21/2016,conventional,1.05,296932.11,145443.75,50580.83,89.81,100817.72
22875,Orlando,2/14/2016,conventional,0.96,312270.64,168683.78,50342.11,103.25,93141.5
22876,Orlando,2/7/2016,conventional,0.58,696369.34,370221.57,119918.66,221.91,206007.2
22877,Orlando,1/31/2016,conventional,1.03,329626.92,163156.69,61348.18,159.17,104962.88
22878,Orlando,1/24/2016,conventional,0.93,399751.64,234746.69,54289.25,325.53,110390.17
22879,Orlando,1/17/2016,conventional,1.19,248039.16,155452.86,21801.29,83.47,70701.54
22880,Orlando,1/10/2016,conventional,0.96,413413.58,279393.48,31582.03,198.79,102239.28
22881,Orlando,1/3/2016,conventional,1.11,308711.73,201918.77,31729.56,234.28,74829.12
22882,Philadelphia,12/25/2016,conventional,1.43,329493.55,11217.72,202764.73,18780.24,96730.86
22883,Philadelphia,12/18/2016,conventional,1.38,336267.19,11534.6,231497.95,2123.6,91111.04
22884,Philadelphia,12/11/2016,conventional,1.37,356716.07,12147.43,231524.76,735.39,112308.49
22885,Philadelphia,12/4/2016,conventional,1.54,301329.5,12336.39,195612.1,845.53,92535.48
22886,Philadelphia,11/27/2016,conventional,1.57,279131.45,10693.47,180338.49,859.82,87239.67
22887,Philadelphia,11/20/2016,conventional,1.57,328557.17,13380.98,207065.15,1486.67,106624.37
22888,Philadelphia,11/13/2016,conventional,1.72,293852.55,14610.73,177197.57,1839.5,100204.75
22889,Philadelphia,11/6/2016,conventional,1.86,269770.44,14395.76,162910.57,1465.76,90998.35
22890,Philadelphia,10/30/2016,conventional,1.83,254423.1,13468.37,150271.02,701.32,89982.39
22891,Philadelphia,10/23/2016,conventional,1.89,293380.24,13407.99,179712.92,664.5,99594.83
22892,Philadelphia,10/16/2016,conventional,1.74,335408.43,15915.88,192515.42,718.39,126258.74
22893,Philadelphia,10/9/2016,conventional,1.71,355667.75,16118.58,203203.51,964.8,135380.86
22894,Philadelphia,10/2/2016,conventional,1.61,366233.17,18332.24,195428.72,898.05,151574.16
22895,Philadelphia,9/25/2016,conventional,1.54,366205.45,42044.86,166762.64,776.02,156621.93
22896,Philadelphia,9/18/2016,conventional,1.41,403065.41,47548.6,167573.19,747.71,187195.91
22897,Philadelphia,9/11/2016,conventional,1.24,499659.75,73604.41,218301.79,955.35,206798.2
22898,Philadelphia,9/4/2016,conventional,1.3,488463.75,47716.6,240344.92,4082.84,196319.39
22899,Philadelphia,8/28/2016,conventional,1.49,418742.8,21609.9,200120.82,13529.45,183482.63
22900,Philadelphia,8/21/2016,conventional,1.45,408490.7,14771.84,215056.47,2558.5,176103.89
22901,Philadelphia,8/14/2016,conventional,1.43,415099.81,21070.06,201588.04,5607.24,186834.47
22902,Philadelphia,8/7/2016,conventional,1.45,411252.23,23405.99,189679.42,12191.16,185975.66
22903,Philadelphia,7/31/2016,conventional,1.57,376353.23,15974.97,180678.21,12676.62,167023.43
22904,Philadelphia,7/24/2016,conventional,1.56,389534.59,13780.15,184981.97,13602.94,177169.53
22905,Philadelphia,7/17/2016,conventional,1.52,392041.56,14420.42,190535.1,17208.53,169877.51
22906,Philadelphia,7/10/2016,conventional,1.47,420054.95,15583.43,211189.05,20445.49,172836.98
22907,Philadelphia,7/3/2016,conventional,1.47,427325.17,14355.22,219161.41,25016.94,168791.6
22908,Philadelphia,6/26/2016,conventional,1.24,478874.92,15053.53,279488.3,21092.23,163240.86
22909,Philadelphia,6/19/2016,conventional,1.46,421529.12,14408.27,245061.91,18156.09,143902.85
22910,Philadelphia,6/12/2016,conventional,1.44,426671.94,14257.58,236401.63,16971.2,159041.53
22911,Philadelphia,6/5/2016,conventional,1.44,450346.65,15486.18,264044.5,17989.98,152825.99
22912,Philadelphia,5/29/2016,conventional,1.18,484287.12,15832.42,300578.34,17074.29,150802.07
22913,Philadelphia,5/22/2016,conventional,1.2,459980.05,15264.75,282262.41,10911.53,151541.36
22914,Philadelphia,5/15/2016,conventional,1.22,474934.47,14393.49,313358.88,10279.83,136902.27
22915,Philadelphia,5/8/2016,conventional,0.91,698601.84,20316.89,511600.73,16821.43,149862.79
22916,Philadelphia,5/1/2016,conventional,1.21,478384.72,16264.6,304614.61,11522.45,145983.06
22917,Philadelphia,4/24/2016,conventional,1.17,504960.76,18439.3,329515.87,11453.06,145552.53
22918,Philadelphia,4/17/2016,conventional,1.17,366448.78,17062.27,199176.83,5216.56,144993.12
22919,Philadelphia,4/10/2016,conventional,1.17,346080.71,18475.34,188452.18,2461.36,136691.83
22920,Philadelphia,4/3/2016,conventional,1.28,370753.84,17215.14,231664.58,409.68,121464.44
22921,Philadelphia,3/27/2016,conventional,1.29,417870.83,17180.94,254821.3,500.98,145367.61
22922,Philadelphia,3/20/2016,conventional,1.05,543578.3,17109.23,287549.42,615.09,238304.56
22923,Philadelphia,3/13/2016,conventional,1.1,533501.85,27514.15,380794.66,775.58,124417.46
22924,Philadelphia,3/6/2016,conventional,1.33,417688.74,16299.39,278369.87,636.84,122382.64
22925,Philadelphia,2/28/2016,conventional,1.27,419881.8,14691.73,293977.44,820.82,110391.81
22926,Philadelphia,2/21/2016,conventional,1.26,409152.46,14147.11,268801.73,1816.34,124387.28
22927,Philadelphia,2/14/2016,conventional,1.19,445228.64,15846.19,283607.57,1006.08,144768.8
22928,Philadelphia,2/7/2016,conventional,0.96,675832.78,16403.87,385630.69,1418.38,272379.84
22929,Philadelphia,1/31/2016,conventional,1.04,469689.07,18326.33,344188.07,504.95,106669.72
22930,Philadelphia,1/24/2016,conventional,1.34,448784.3,12982.99,287750.87,692.47,147357.97
22931,Philadelphia,1/17/2016,conventional,1.14,492565.69,15195.3,340075.76,2771.59,134523.04
22932,Philadelphia,1/10/2016,conventional,1.23,413224.5,14091.36,271291.13,700.17,127141.84
22933,Philadelphia,1/3/2016,conventional,1.19,421093.02,13858.25,309377.59,918.32,96938.86
22934,PhoenixTucson,12/25/2016,conventional,0.64,1108953.48,595085.56,215902.65,17008.1,280957.17
22935,PhoenixTucson,12/18/2016,conventional,0.56,1236204.18,733772.13,203894.48,14396.29,284141.28
22936,PhoenixTucson,12/11/2016,conventional,0.67,1056806.44,508911.67,226307.94,14222.88,307363.95
22937,PhoenixTucson,12/4/2016,conventional,0.63,1164027.22,731182.01,187418.51,11915.51,233511.19
22938,PhoenixTucson,11/27/2016,conventional,0.72,907516.28,464034.44,212695.94,11542.14,219243.76
22939,PhoenixTucson,11/20/2016,conventional,0.7,1226126.36,753470.68,183315.34,14661.31,274679.03
22940,PhoenixTucson,11/13/2016,conventional,0.94,911367.38,437810.54,189026.34,15106.03,269424.47
22941,PhoenixTucson,11/6/2016,conventional,1,734433.2,334096.22,154480.91,16680.28,229175.79
22942,PhoenixTucson,10/30/2016,conventional,1.11,644652.47,261889.52,135479.22,15843.09,231440.64
22943,PhoenixTucson,10/23/2016,conventional,1.02,699711.07,250712.73,188686.25,16864.42,243447.67
22944,PhoenixTucson,10/16/2016,conventional,1.03,831120.57,273642.18,223809.9,13628.24,320040.25
22945,PhoenixTucson,10/9/2016,conventional,0.99,885661.32,382978.65,208869.08,10640.59,283173
22946,PhoenixTucson,10/2/2016,conventional,1.03,815711.64,345171.12,206765.02,11411.45,252364.05
22947,PhoenixTucson,9/25/2016,conventional,1.04,811939.65,354470.18,208122.38,12131.33,237215.76
22948,PhoenixTucson,9/18/2016,conventional,1,826738.9,377761.66,206297.66,11915.14,230764.44
22949,PhoenixTucson,9/11/2016,conventional,0.88,961997.61,504499.4,216559.98,11582.2,229356.03
22950,PhoenixTucson,9/4/2016,conventional,0.64,1455770.91,947924.8,261415.15,13070.26,233360.7
22951,PhoenixTucson,8/28/2016,conventional,0.79,1024799.73,590085.71,207913.34,10716.73,216083.95
